sample_id	signature_id	programme_label	score
HC02A	GSE214607_RM_decidua_inflammatory_macrophage_APC_up	RM decidua inflammatory macrophage/APC programme up	-0.938899743639769
HC04A	GSE214607_RM_decidua_inflammatory_macrophage_APC_up	RM decidua inflammatory macrophage/APC programme up	-0.323035344375737
HC06A	GSE214607_RM_decidua_inflammatory_macrophage_APC_up	RM decidua inflammatory macrophage/APC programme up	-0.148954658945989
RSA03A	GSE214607_RM_decidua_inflammatory_macrophage_APC_up	RM decidua inflammatory macrophage/APC programme up	0.549465336480923
RSA04A	GSE214607_RM_decidua_inflammatory_macrophage_APC_up	RM decidua inflammatory macrophage/APC programme up	0.369441376457573
RSA-1A	GSE214607_RM_decidua_inflammatory_macrophage_APC_up	RM decidua inflammatory macrophage/APC programme up	0.491983034022998
HC02A	GSE214607_decidua_immune_stromal_identity_up	Decidua-enriched immune/stromal identity programme	-0.330628735371369
HC04A	GSE214607_decidua_immune_stromal_identity_up	Decidua-enriched immune/stromal identity programme	0.370467674129428
HC06A	GSE214607_decidua_immune_stromal_identity_up	Decidua-enriched immune/stromal identity programme	-0.0868320358305029
RSA03A	GSE214607_decidua_immune_stromal_identity_up	Decidua-enriched immune/stromal identity programme	-0.130864814431403
RSA04A	GSE214607_decidua_immune_stromal_identity_up	Decidua-enriched immune/stromal identity programme	-0.204988579739446
RSA-1A	GSE214607_decidua_immune_stromal_identity_up	Decidua-enriched immune/stromal identity programme	0.382846491243299
HC02A	GSE214607_villi_trophoblast_epithelial_identity_up	Villi-enriched trophoblast/epithelial identity programme	0.362172149929438
HC04A	GSE214607_villi_trophoblast_epithelial_identity_up	Villi-enriched trophoblast/epithelial identity programme	-1.18356616515675
HC06A	GSE214607_villi_trophoblast_epithelial_identity_up	Villi-enriched trophoblast/epithelial identity programme	0.588004357787496
RSA03A	GSE214607_villi_trophoblast_epithelial_identity_up	Villi-enriched trophoblast/epithelial identity programme	0.370837931781732
RSA04A	GSE214607_villi_trophoblast_epithelial_identity_up	Villi-enriched trophoblast/epithelial identity programme	0.559621997357722
RSA-1A	GSE214607_villi_trophoblast_epithelial_identity_up	Villi-enriched trophoblast/epithelial identity programme	-0.697070271699637
HC02A	GSE214607_RM_villi_structural_trophoblast_down	RM villi reduced structural/trophoblast-associated programme	-0.064415441942265
HC04A	GSE214607_RM_villi_structural_trophoblast_down	RM villi reduced structural/trophoblast-associated programme	-0.724783606358798
HC06A	GSE214607_RM_villi_structural_trophoblast_down	RM villi reduced structural/trophoblast-associated programme	0.799971492354578
RSA03A	GSE214607_RM_villi_structural_trophoblast_down	RM villi reduced structural/trophoblast-associated programme	0.117770181148963
RSA04A	GSE214607_RM_villi_structural_trophoblast_down	RM villi reduced structural/trophoblast-associated programme	0.366837473465864
RSA-1A	GSE214607_RM_villi_structural_trophoblast_down	RM villi reduced structural/trophoblast-associated programme	-0.495380098668345
